date,cpi,interest_rate,unemployment,industrial_production
1954-07-01,26.86,0.8,5.8,18.1222
1954-08-01,26.85,1.22,6.0,18.0953
1954-09-01,26.81,1.07,6.1,18.1222
1954-10-01,26.72,0.85,5.7,18.3377
1954-11-01,26.78,0.83,5.3,18.6338
1954-12-01,26.77,1.28,5.0,18.8762
1955-01-01,26.77,1.39,4.9,19.307
1955-02-01,26.82,1.29,4.7,19.5494
1955-03-01,26.79,1.35,4.6,20.0071
1955-04-01,26.79,1.43,4.7,20.2495
1955-05-01,26.77,1.43,4.3,20.5726
1955-06-01,26.71,1.64,4.2,20.5996
1955-07-01,26.76,1.68,4.0,20.7611
1955-08-01,26.72,1.96,4.2,20.7342
1955-09-01,26.85,2.18,4.1,20.8688
1955-10-01,26.82,2.24,4.3,21.2189
1955-11-01,26.88,2.35,4.2,21.2727
1955-12-01,26.87,2.48,4.2,21.3535
1956-01-01,26.83,2.45,4.0,21.4882
1956-02-01,26.86,2.5,3.9,21.2997
1956-03-01,26.89,2.5,4.2,21.2997
1956-04-01,26.93,2.62,4.0,21.4612
1956-05-01,27.03,2.75,4.3,21.2728
1956-06-01,27.15,2.71,4.3,21.0843
1956-07-01,27.29,2.75,4.4,20.438
1956-08-01,27.31,2.73,4.1,21.2727
1956-09-01,27.35,2.95,3.9,21.7574
1956-10-01,27.51,2.96,3.9,21.9459
1956-11-01,27.51,2.88,4.3,21.7574
1956-12-01,27.63,2.94,4.2,22.0806
1957-01-01,27.67,2.84,4.2,21.9998
1957-02-01,27.8,3.0,3.9,22.2152
1957-03-01,27.86,2.96,3.7,22.1883
1957-04-01,27.93,3.0,3.9,21.8921
1957-05-01,28.0,3.0,4.1,21.8113
1957-06-01,28.11,3.0,4.3,21.8652
1957-07-01,28.19,2.99,4.2,21.9998
1957-08-01,28.28,3.24,4.1,21.9998
1957-09-01,28.32,3.47,4.4,21.8113
1957-10-01,28.32,3.5,4.5,21.4882
1957-11-01,28.41,3.28,5.1,20.9765
1957-12-01,28.47,2.98,5.2,20.5726
1958-01-01,28.64,2.72,5.8,20.1956
1958-02-01,28.7,1.67,6.4,19.7648
1958-03-01,28.87,1.2,6.7,19.5225
1958-04-01,28.94,1.26,7.4,19.1993
1958-05-01,28.94,0.63,7.4,19.3878
1958-06-01,28.91,0.93,7.3,19.8994
1958-07-01,28.89,0.68,7.5,20.1956
1958-08-01,28.94,1.53,7.4,20.5995
1958-09-01,28.91,1.76,7.1,20.7881
1958-10-01,28.91,1.8,6.7,21.0304
1958-11-01,28.95,2.27,6.2,21.6497
1958-12-01,28.97,2.42,6.2,21.6767
1959-01-01,29.01,2.48,6.0,21.9998
1959-02-01,29.0,2.43,5.9,22.4306
1959-03-01,28.97,2.8,5.6,22.7538
1959-04-01,28.98,2.96,5.2,23.2384
1959-05-01,29.04,2.9,5.1,23.5885
1959-06-01,29.11,3.39,5.0,23.6155
1959-07-01,29.15,3.47,5.1,23.05
1959-08-01,29.18,3.5,5.2,22.2691
1959-09-01,29.25,3.76,5.5,22.2421
1959-10-01,29.35,3.98,5.7,22.0806
1959-11-01,29.35,4.0,5.8,22.2152
1959-12-01,29.41,3.99,5.3,23.5885
1960-01-01,29.37,3.99,5.2,24.2078
1960-02-01,29.41,3.97,4.8,23.9924
1960-03-01,29.41,3.84,5.4,23.777
1960-04-01,29.54,3.92,5.2,23.5885
1960-05-01,29.57,3.85,5.1,23.5616
1960-06-01,29.61,3.32,5.4,23.2654
1960-07-01,29.55,3.23,5.5,23.1846
1960-08-01,29.61,2.98,5.6,23.1577
1960-09-01,29.61,2.6,5.5,22.9153
1960-10-01,29.75,2.47,6.1,22.8884
1960-11-01,29.78,2.44,6.1,22.5653
1960-12-01,29.81,1.98,6.6,22.1344
1961-01-01,29.84,1.45,6.6,22.1613
1961-02-01,29.84,2.54,6.9,22.1344
1961-03-01,29.84,2.02,6.9,22.2691
1961-04-01,29.81,1.49,7.0,22.7268
1961-05-01,29.84,1.98,7.1,23.0769
1961-06-01,29.84,1.73,6.9,23.4
1961-07-01,29.92,1.17,7.0,23.6693
1961-08-01,29.94,2.0,6.6,23.8847
1961-09-01,29.98,1.88,6.7,23.8578
1961-10-01,29.98,2.26,6.5,24.3156
1961-11-01,29.98,2.61,6.1,24.6926
1961-12-01,30.01,2.33,6.0,24.908
1962-01-01,30.04,2.15,5.8,24.6925
1962-02-01,30.11,2.37,5.5,25.0964
1962-03-01,30.17,2.85,5.6,25.2311
1962-04-01,30.21,2.78,5.6,25.285
1962-05-01,30.24,2.36,5.5,25.258
1962-06-01,30.21,2.68,5.5,25.2042
1962-07-01,30.22,2.71,5.4,25.4465
1962-08-01,30.28,2.93,5.7,25.4734
1962-09-01,30.42,2.9,5.6,25.635
1962-10-01,30.38,2.9,5.4,25.6619
1962-11-01,30.38,2.94,5.7,25.7696
1962-12-01,30.38,2.93,5.5,25.7696
1963-01-01,30.44,2.92,5.7,25.9581
1963-02-01,30.48,3.0,5.9,26.2544
1963-03-01,30.51,2.98,5.7,26.4159
1963-04-01,30.48,2.9,5.7,26.6582
1963-05-01,30.51,3.0,5.9,26.9814
1963-06-01,30.61,2.99,5.6,27.0622
1963-07-01,30.69,3.02,5.6,26.9545
1963-08-01,30.75,3.49,5.4,27.0083
1963-09-01,30.72,3.48,5.5,27.2776
1963-10-01,30.75,3.5,5.5,27.4661
1963-11-01,30.78,3.48,5.7,27.6007
1963-12-01,30.88,3.38,5.5,27.5469
1964-01-01,30.94,3.48,5.6,27.7892
1964-02-01,30.91,3.48,5.4,27.9777
1964-03-01,30.94,3.43,5.4,27.9777
1964-04-01,30.95,3.47,5.3,28.4355
1964-05-01,30.98,3.5,5.1,28.597
1964-06-01,31.01,3.5,5.2,28.6778
1964-07-01,31.02,3.42,4.9,28.8663
1964-08-01,31.05,3.5,5.0,29.0548
1964-09-01,31.08,3.45,5.1,29.1625
1964-10-01,31.12,3.36,5.1,28.7586
1964-11-01,31.21,3.52,4.8,29.6472
1964-12-01,31.25,3.85,5.0,29.9973
1965-01-01,31.28,3.9,4.9,30.3204
1965-02-01,31.28,3.98,5.1,30.5089
1965-03-01,31.31,4.05,4.7,30.9128
1965-04-01,31.38,4.09,4.8,31.0474
1965-05-01,31.48,4.1,4.6,31.2898
1965-06-01,31.61,4.05,4.6,31.5321
1965-07-01,31.58,4.09,4.4,31.8283
1965-08-01,31.55,4.12,4.4,31.963
1965-09-01,31.62,4.02,4.3,32.0438
1965-10-01,31.65,4.08,4.2,32.3669
1965-11-01,31.75,4.1,4.1,32.5015
1965-12-01,31.85,4.32,4.0,32.9054
1966-01-01,31.88,4.42,4.0,33.2286
1966-02-01,32.08,4.6,3.8,33.444
1966-03-01,32.18,4.66,3.8,33.9018
1966-04-01,32.28,4.67,3.8,33.9556
1966-05-01,32.35,4.9,3.9,34.2787
1966-06-01,32.38,5.17,3.8,34.4403
1966-07-01,32.45,5.3,3.8,34.6288
1966-08-01,32.65,5.53,3.8,34.6557
1966-09-01,32.75,5.4,3.7,34.9789
1966-10-01,32.85,5.53,3.7,35.2212
1966-11-01,32.88,5.76,3.6,34.9788
1966-12-01,32.92,5.4,3.8,35.0596
1967-01-01,32.9,4.94,3.9,35.225
1967-02-01,33.0,5.0,3.8,34.8255
1967-03-01,33.0,4.53,3.8,34.6292
1967-04-01,33.1,4.05,3.8,34.9558
1967-05-01,33.1,3.94,3.8,34.6508
1967-06-01,33.3,3.98,3.9,34.6465
1967-07-01,33.4,3.79,3.8,34.5676
1967-08-01,33.5,3.9,3.8,35.2299
1967-09-01,33.6,3.99,3.8,35.1727
1967-10-01,33.7,3.88,4.0,35.4591
1967-11-01,33.9,4.13,3.9,35.9663
